Search Method,Title,Authors (abbr),Authors,Source Title,Publication Year,Volume,Issue,DOI,Unique Identifier,Classification,Spatial,Type
Web of Science,"Earth systems engineering management: human behavior, technology and sustainability",Gorman,"Gorman, ME",RESOURCES CONSERVATION AND RECYCLING,2005,44,3,10.1016/j.resconrec.2005.01.002,275,Exclude,,
Web of Science,Was collective intelligence before life on earth?,Szuba et al.,"Szuba, T; Almulla, M","PARALLEL AND DISTRIBUTED PROCESSING, PROCEEDINGS",2000,1800,NA,NA,276,Exclude,,
Web of Science,"Fourier's heat conduction equation: History, influence, and connections (Reprinted from Reviews of Geophysics vol 37, pg 151-172, 1999)",Narasimhan et al.,"Narasimhan, TN",PROCEEDINGS OF THE INDIAN ACADEMY OF SCIENCES-EARTH AND PLANETARY SCIENCES,1999,108,3,NA,277,Exclude,,
Web of Science,Design structure model and renewable energy technology for rechargeable battery towards greener and more sustainable electric vehicle,Li et al.,"Li, Yong; Yang, Jie; Song, Jian",RENEWABLE & SUSTAINABLE ENERGY REVIEWS,2017,74,NA,10.1016/j.rser.2017.02.021,278,Exclude,,
Web of Science,Hazard interactions and interaction networks (cascades) within multi-hazard methodologies,Gill et al.,"Gill, Joel C.; Malamud, Bruce D.",EARTH SYSTEM DYNAMICS,2016,7,3,10.5194/esd-7-659-2016,279,Exclude,,
Web of Science,An Efficient Multidimensional Big Data Fusion Approach in Machine-to-Machine Communication,Ahmad et al.,"Ahmad, Awais; Paul, Anand; Rathore, Mazhar; Chang, Hangbae",ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,2016,15,2,10.1145/2834118,280,Exclude,,
Web of Science,Simulating social-ecological systems: the Island Digital Ecosystem Avatars (IDEA) consortium,Davies et al.,"Davies, Neil; Field, Dawn; Gavaghan, David; Holbrook, Sally J.; Planes, Serge; Troyer, Matthias; Bonsall, Michael; Claudet, Joachim; Roderick, George; Schmitt, Russell J.; Zettler, Linda Amaral; Berteaux, Veronique; Bossin, Herve C.; Cabasse, Charlotte; Collin, Antoine; Deck, John; Dell, Tony; Dunne, Jennifer; Gates, Ruth; Harfoot, Mike; Hench, James L.; Hopuare, Marania; Kirch, Patrick; Kotoulas, Georgios; Kosenkov, Alex; Kusenko, Alex; Leichter, James J.; Lenihan, Hunter; Magoulas, Antonios; Martinez, Neo; Meyer, Chris; Stoll, Benoit; Swalla, Billie; Tartakovsky, Daniel M.; Murphy, Hinano Teavai; Turyshev, Slava; Valdvinos, Fernanda; Williams, Rich; Wood, Spencer",GIGASCIENCE,2016,5,NA,10.1186/s13742-016-0118-5,281,Exclude,,
Web of Science,"Environmental management in the aspect of sustainable development in micro-, small-, and medium-sized enterprises",Wielgorka et al.,"Wielgorka, Dariusz",DESALINATION AND WATER TREATMENT,2016,57,3,10.1080/19443994.2015.1017322,282,Exclude,,
Web of Science,"Investigating feedbacks in human-landscape systems: Lessons following a wildfire in Colorado, USA",Chin et al.,"Chin, Anne; An, Li; Florsheim, Joan L.; Laurencio, Laura R.; Marston, Richard A.; Solverson, Anna P.; Simon, Gregory L.; Stinson, Emily; Wohl, Ellen",GEOMORPHOLOGY,2016,252,NA,10.1016/j.geomorph.2015.07.030,283,Exclude,,
Web of Science,A generalized residual technique for analysing complex movement models using earth mover's distance,Potts et al.,"Potts, Jonathan R.; Auger-Methe, Marie; Mokross, Karl; Lewis, Mark A.",METHODS IN ECOLOGY AND EVOLUTION,2014,5,10,10.1111/2041-210X.12253,284,Exclude,,
Web of Science,The Rule of Ecological Law: The Legal Complement to Degrowth Economics,Garver et al.,"Garver, Geoffrey",SUSTAINABILITY,2013,5,1,10.3390/su5010316,285,Exclude,,
Web of Science,Mars is an awful place to live,Cockell,"Cockell, CS",INTERDISCIPLINARY SCIENCE REVIEWS,2002,27,1,10.1179/030801802225002881,286,Exclude,,
Web of Science,Cross-median collisions an Pennsylvania interstates land expressways,Donnell et al.,"Donnell, ET; Harwood, DW; Bauer, KM; Mason, JM; Pietrucha, MT","STATISTICAL METHODOLOGY: APPLICATIONS TO DESIGN, DATA ANALYSIS, AND EVALUATION: SAFETY AND HUMAN PERFORMANCE",2002,NA,1784,NA,287,Exclude,,
Web of Science,The human carrying capacity. Is it a viable concept when assessing the land use sustainability?,Iskandar,"Iskandar, L",INTERCIENCIA,1999,24,1,NA,288,Exclude,,
Web of Science,Assessment of future ENSO changes in a CMIP3/CMIP5 multi-model and multi-index framework,Keupp et al.,"Keupp, Luzia; Pollinger, Felix; Paeth, Heiko",INTERNATIONAL JOURNAL OF CLIMATOLOGY,2017,37,8,10.1002/joc.4928,289,Exclude,,
Web of Science,Time series evaluation of landscape dynamics using annual Landsat imagery and spatial statistical modeling: Evidence from the Phoenix metropolitan region,Fan et al.,"Fan, Chao; Myint, W.; Rey, Sergio J.; Li, Wenwen",INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,2017,58,NA,10.1016/j.jag.2017.01.009,290,Exclude,,
Web of Science,A quantitative method for storm surge vulnerability assessment - a case study of Weihai city,Liu et al.,"Liu, Jin; Gong, Jian-Hua; Liang, Jian-Ming; Li, Yi; Kang, Lin-Chong; Song, Li-Li; Shi, Sui-Xiang",INTERNATIONAL JOURNAL OF DIGITAL EARTH,2017,10,5,10.1080/17538947.2016.1229052,291,Exclude,,
Web of Science,A Toolkit for Ecosystem Ecologists in the Time of Big Science,Peters et al.,"Peters, Debra P. C.; Okin, Gregory S.",ECOSYSTEMS,2017,20,2,10.1007/s10021-016-0072-1,292,Exclude,,
Web of Science,Citizen Observatories and the New Earth Observation Science,Grainger,"Grainger, Alan",REMOTE SENSING,2017,9,2,10.3390/rs9020153,293,Exclude,,
Web of Science,Indicators and metrics for the assessment of climate engineering,Oschlies et al.,"Oschlies, A.; Held, H.; Keller, D.; Keller, K.; Mengis, N.; Quaas, M.; Rickels, W.; Schmidt, H.",EARTHS FUTURE,2017,5,1,10.1002/2016EF000449,294,Exclude,,
Web of Science,Global warming as a detectable thermodynamic marker of Earth-like extrasolar civilizations: the case for a telescope like Colossus,Kuhn et al.,"Kuhn, Jeff R.; Berdyugina, Svetlana V.",INTERNATIONAL JOURNAL OF ASTROBIOLOGY,2015,14,3,10.1017/S1473550414000585,295,Exclude,,
Web of Science,Community Involvement in Geoconservation: A Conceptual Approach Based on the Geoheritage of South Angola,Tavares et al.,"Tavares, Alexandre Oliveira; Henriques, Maria Helena; Domingos, Artur; Bala, Abel",SUSTAINABILITY,2015,7,5,10.3390/su7054893,296,Exclude,,
Web of Science,Land cover change using an energy transition paradigm in a statistical mechanics approach,Zachary et al.,"Zachary, Daniel S.",PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,2013,392,20,10.1016/j.physa.2013.04.016,297,Exclude,,
Web of Science,Scientific methodology for complex systems: Macroscopic patterns in eco- and anthropo-sphere,Moser,"Moser, A",ACTA BIOTECHNOLOGICA,2000,20,4-Mar,10.1002/abio.370200308,298,Exclude,,
Web of Science,"THE WATER-SYSTEM EXPLORATIONS - A NEW DUTCH PROJECT (THE AQUATIC OUTLOOK) FOR COMBINING MONITORING, RESEARCH AND POLICY ANALYSIS FOR INTEGRATED WATER MANAGEMENT",Luiten,"LUITEN, JPA",WATER SCIENCE AND TECHNOLOGY,1995,31,8,10.1016/0273-1223(95)00385-Z,299,Exclude,,
Web of Science,The utility of the historical record for assessing the transient climate response to cumulative emissions,Millar et al.,"Millar, Richard J.; Friedlingstein, Pierre",PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,2018,376,2119,10.1098/rsta.2016.0449,300,Exclude,,
Web of Science,Stabilization of global temperature at 1.5 degrees C and 2.0 degrees C: implications for coastal areas,Nicholls et al.,"Nicholls, Robert J.; Brown, Sally; Goodwin, Philip; Wahl, Thomas; Lowe, Jason; Solan, Martin; Godbold, Jasmin A.; Haigh, Ivan D.; Lincke, Daniel; Hinkel, Jochen; Wolff, Claudia; Merkens, Jan-Ludolf",PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,2018,376,2119,10.1098/rsta.2016.0448,301,Exclude,,
Web of Science,"Climate extremes, land-climate feedbacks and land-use forcing at 1.5 degrees C",Seneviratne et al.,"Seneviratne, Sonia, I; Wartenburger, Richard; Guillod, Benoit P.; Hirsch, Annette L.; Vogel, Martha M.; Brovkin, Victor; van Vuuren, Detlef P.; Schaller, Nathalie; Boysen, Lena; Calvin, Katherine, V; Doelman, Jonathan; Greve, Peter; Havlik, Petr; Humpenoeder, Florian; Krisztin, Tamas; Mitchell, Daniel; Popp, Alexander; Riahi, Keywan; Rogelj, Joeri; Schleussner, Carl-Friedrich; Sillmann, Jana; Stehfest, Elke",PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,2018,376,2119,10.1098/rsta.2016.0450,302,Exclude,,One-way coupling
Web of Science,Simulation Study of Geometric Characteristics and Coverage for Moon-Based Earth Observation in the Electro-Optical Region,Ren et al.,"Ren, Yuanzhen; Guo, Huadong; Liu, Guang; Ye, Hanlin",IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2017,10,6,10.1109/JSTARS.2017.2711061,303,Exclude,,
Web of Science,From Math to Metaphors and Back Again Social-Ecological Resilience from a Multi-Agent-Environment Perspective,Donges et al.,"Donges, Jonathan F.; Barfuss, Wolfram",GAIA-ECOLOGICAL PERSPECTIVES FOR SCIENCE AND SOCIETY,2017,26,NA,10.14512/gaia.26.S1.5,304,Exclude,,
Web of Science,Density-Dependent Recycling Promotes the Long-Term Survival of Bacterial Populations during Periods of Starvation,Takano et al.,"Takano, Sotaro; Pawlowska, Bogna J.; Gudelj, Ivana; Yomo, Tetsuya; Tsuru, Saburo",MBIO,2017,8,1,10.1128/mBio.02336-16,305,Exclude,,
Web of Science,Two-Phase Earthwork Optimization Model for Highway Construction,Bogenberger et al.,"Bogenberger, Christian; Dell'Amico, Mauro; Fuellerer, Guenther; Hoefinger, Gerhard; Iori, Manuel; Novellani, Stefano; Panicucci, Barbara",JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,2015,141,6,10.1061/(ASCE)CO.1943-7862.0000973,306,Exclude,,
Web of Science,An address regional tessellation method for spatial subdivision and geocoding in digital earth system,Tan et al.,Tan Ningsheng; Yang Chongjun; Yang LiuZhong; Liu Yuan,INTERNATIONAL JOURNAL OF DIGITAL EARTH,2015,8,10,10.1080/17538947.2014.915995,307,Exclude,,
Web of Science,Recursive ant colony optimization: a new technique for the estimation of function parameters from geophysical field data,Gupta et al.,"Gupta, Deepak K.; Gupta, Jai P.; Arora, Yogesh; Shankar, Uma",NEAR SURFACE GEOPHYSICS,2013,11,3,10.3997/1873-0604.2012062,308,Exclude,,
Web of Science,Intellectual Capital Accounting Indicators,Mavridis et al.,"Mavridis, Dimitrios G.; Vatalis, Konstantinos I.",INTERNATIONAL CONFERENCE ON APPLIED ECONOMICS (ICOAE),2012,1,NA,10.1016/S2212-5671(12)00032-9,309,Exclude,,
Web of Science,Historical Development of Sustainability and Sustainable Nutrition,Leitzmann et al.,"Leitzmann, Claus",ERNAHRUNGS UMSCHAU,2011,58,11,10.4455/eu.2011.951,310,Exclude,,
Web of Science,"The alluvional phenomenon in the high valley of the Rio Negro River, Argentina.",Marizza et al.,"Marizza, Marta S.; Rapacioli, Raul; Vives, Luis",TECNOLOGIA Y CIENCIAS DEL AGUA,2010,1,1,NA,311,Exclude,,
Web of Science,Economic benefits of space tourism to Europe,Collins et al.,"Collins, Patrick",JBIS-JOURNAL OF THE BRITISH INTERPLANETARY SOCIETY,2007,60,11,NA,312,Exclude,,
Web of Science,Deviation of the power-law by geometric aging effect,Shin et al.,"Shin, J. K.; Shin, G. S.",FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,2007,15,2,10.1142/S0218348X07003514,313,Exclude,,
Web of Science,From observations to decision support: the new paradigm for satellite data,McCuistion et al.,"McCuistion, JD; Birk, R",ACTA ASTRONAUTICA,2005,56,2-Jan,10.1016/j.actaastro.2004.09.046,314,Exclude,,
Web of Science,"A numerical model of seasonal foraging characteristics of successful underground colonies of Vespula vulgaris (Hymenoptera, Vespidae) in England",Archer,"Archer, ME",INSECTES SOCIAUX,2005,52,3,10.1007/s00040-004-0798-1,315,Exclude,,
Web of Science,"Canada's Model Forest Programs (Reprinted from Forestry Chronicle, vol 78)",LaPierre,"LaPierre, L",FORESTRY CHRONICLE,2003,79,4,10.5558/tfc79794-4,316,Exclude,,
Web of Science,Model based decision support system for land use changes and socio-economic assessments,Yu et al.,"Yu Yang; Chen Xi; Huttner, Philipp; Hinnenthal, Marie; Brieden, Andreas; Sun Lingxiao; Disse, Markus",JOURNAL OF ARID LAND,2018,10,2,10.1007/s40333-018-0091-1,317,Exclude,,No feedbacks to climate
Web of Science,From engineering hydrology to Earth system science: milestones in the transformation of hydrologic science,Sivapalan et al.,"Sivapalan, Murugesu",HYDROLOGY AND EARTH SYSTEM SCIENCES,2018,22,3,10.5194/hess-22-1665-2018,318,Exclude,,
Web of Science,Past and future drought in Mongolia,Hessl et al.,"Hessl, Amy E.; Anchukaitis, Kevin J.; Jelsema, Casey; Cook, Benjamin; Byambasuren, Oyunsanaa; Leland, Caroline; Nachin, Baatarbileg; Pederson, Neil; Tian, Hanqin; Hayles, Laia Andreu",SCIENCE ADVANCES,2018,4,3,10.1126/sciadv.1701832,319,Exclude,,
Web of Science,Adaptive Policy Framework through the Lens of the Viability Theory: A Theoretical Contribution to Sustainability in the Anthropocene Era,Bates et al.,"Bates, Samuel; Saint-Pierre, Patrick",ECOLOGICAL ECONOMICS,2018,145,NA,10.1016/j.ecolecon.2017.09.007,320,Exclude,,
Web of Science,The Multiagent Analysis of Social Progress in Energy Behavior: The System Dynamics Methodology,Khansari et al.,"Khansari, Nasrin; Vesaghi, Arash; Mansouri, Mo; Mostashari, Ali",IEEE SYSTEMS JOURNAL,2017,11,4,10.1109/JSYST.2015.2457771,321,Exclude,,
Web of Science,Selection of priority investment projects for the development of the Russian Arctic,Novoselov et al.,"Novoselov, A.; Potravny, I.; Novoselova, I.; Gassiy, V.",POLAR SCIENCE,2017,14,NA,10.1016/j.polar.2017.10.003,322,Exclude,,
Web of Science,Advanced computing model for geosocial media using big data analytics,Rathore et al.,"Rathore, M. Mazhar; Ahmad, Awais; Paul, Anand; Hong, Won-Hwa; Seo, HyunCheol",MULTIMEDIA TOOLS AND APPLICATIONS,2017,76,23,10.1007/s11042-017-4644-7,323,Exclude,,
Web of Science,Towards representing human behavior and decision making in Earth system models - an overview of techniques and approaches,Mueller-Hansen et al.,"Mueller-Hansen, Finn; Schluter, Maja; Mas, Michael; Donges, Jonathan F.; Kolb, Jakob J.; Thonicke, Kirsten; Heitzig, Jobst",EARTH SYSTEM DYNAMICS,2017,8,4,10.5194/esd-8-977-2017,324,Follow Up,,Review
Web of Science,Quantifying the economic risks of climate change,Diaz and Moore,"Diaz, Delavane; Moore, Frances",NATURE CLIMATE CHANGE,2017,7,11,10.1038/NCLIMATE3411,325,Follow Up,,Review
Web of Science,A multi-level slow intelligence system for visualizing personal health care,Chang et al.,"Chang, Shi-Kuo; Chen, JunHui; Gao, Wei; Lou, ManSi; Yin, XiYao; Zhang, Qui; Zhao, ZiHao",JOURNAL OF VISUAL LANGUAGES AND COMPUTING,2017,42,NA,10.1016/j.jvlc.2017.08.006,326,Exclude,,
Web of Science,Making Complexity Your Friend: Reframing Social Theory for the Anthropocene,Smith-Nonini et al.,"Smith-Nonini, Sandy",WEATHER CLIMATE AND SOCIETY,2017,9,4,10.1175/WCAS-D-16-0124.1,327,Exclude,,
Web of Science,Farmers' Awareness of Ecosystem Services and the Associated Policy Implications,Xun et al.,"Xun, Fangfang; Hu, Yecui; Lv, Ling; Tong, Jinhui",SUSTAINABILITY,2017,9,9,10.3390/su9091612,328,Exclude,,
Web of Science,Analysis and Applications of GlobeLand30: A Review,Chen et al.,"Chen, Jun; Cao, Xin; Peng, Shu; Ren, Huiru",ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,2017,6,8,10.3390/ijgi6080230,329,Exclude,,
Web of Science,Multichannel Empirical Orthogonal Teleconnection Analysis: A Method for Space-Time Decomposition of Climate Variability,Parmentier et al.,"Parmentier, Benoit; Neeti, Neeti; Nickl, Elsa; Millones, Marco",JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY,2017,56,7,10.1175/JAMC-D-16-0072.1,330,Exclude,,
Web of Science,"Whi, a discrete global grid gazetteer built using linked open data",Adams et al.,"Adams, Benjamin",INTERNATIONAL JOURNAL OF DIGITAL EARTH,2017,10,5,10.1080/17538947.2016.1229819,331,Exclude,,
Web of Science,Resilience through adaptation,ten Broeke et al.,"ten Broeke, Guus A.; van Voorn, George A. K.; Ligtenberg, Arend; Molenaar, Jaap",PLOS ONE,2017,12,2,10.1371/journal.pone.0171833,332,Exclude,,
Web of Science,How to Reduce the Negative Impacts of Climate Change?,Dorota et al.,"Dorota, Michalak","COUNTRY EXPERIENCES IN ECONOMIC DEVELOPMENT, MANAGEMENT AND ENTREPRENEURSHIP",2017,5,NA,10.1007/978-3-319-46319-3_15,333,Exclude,,
Web of Science,Rachel Carson's environmental ethic - a guide for global systems decision making,DeMarco et al.,"DeMarco, Patricia M.",JOURNAL OF CLEANER PRODUCTION,2017,140,NA,10.1016/j.jclepro.2015.03.058,334,Exclude,,
Web of Science,Creating a pandemic of health: What is the role of digital technologies?,Jadad et al.,"Jadad, Alejandro R.",JOURNAL OF PUBLIC HEALTH POLICY,2016,37,NA,10.1057/s41271-016-0016-1,335,Exclude,,
Web of Science,An Integrated Software Framework to Support Semantic Modeling and Reasoning of Spatiotemporal Change of Geographical Objects: A Use Case of Land Use and Land Cover Change Study,Li et al.,"Li, Wenwen; Zhou, Xiran; Wu, Sheng",ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,2016,5,10,10.3390/ijgi5100179,336,Exclude,,
Web of Science,Chinese human geography and its contributions,Fan,Fan Jie,JOURNAL OF GEOGRAPHICAL SCIENCES,2016,26,8,10.1007/s11442-016-1311-2,337,Exclude,,
Web of Science,A model to assess fundamental and realized carrying capacities of island ecosystem: A case study in the southern Miaodao Archipelago of China,Shi et al.,Shi Honghua; Shen Chengcheng; Zheng Wei; Li Fen; Wang Xiaoli; Chi Yuan; Guo Zhen; Qiao Mingyang; Gao Liyuan; Ding Dewen,ACTA OCEANOLOGICA SINICA,2016,35,2,10.1007/s13131-016-0808-y,338,Exclude,,
Web of Science,Discussion of the Accuracy of the GPS Height Measurement in the Geological Mineral Exploration,Peng et al.,"Peng, Yu; Li, Jihong; Ma, Nan","2016 3RD INTERNATIONAL CONFERENCE ON MANAGEMENT INNOVATION AND BUSINESS INNOVATION (ICMIBI 2016), PT 2",2016,58,NA,NA,339,Exclude,,
Web of Science,"Ecological Agro-ecosystem Sustainable Development in Relationship to Other Sectors in the Economic System, and Human Ecological Footprint and Imprint",Hanna et al.,"Hanna, Safwat H. Shakir; Osborne-Lee, Irvin W.; Cesaretti, Gian Paolo; Misso, Rosa; Khalil, Magdy T.","FLORENCE 'SUSTAINABILITY OF WELL-BEING INTERNATIONAL FORUM', 2015: FOOD FOR SUSTAINABILITY AND NOT JUST FOOD, FLORENCESWIF2015",2016,8,NA,10.1016/j.aaspro.2016.02.004,340,Exclude,,
Web of Science,From local scenarios to national maps: a participatory framework for envisioning the future of Tanzania,Capitani et al.,"Capitani, Claudia; Mukama, Kusaga; Mbilinyi, Boniface; Malugu, Isaac O.; Munishi, Pantaleo K. T.; Burgess, Neil D.; Platts, Philip J.; Sallu, Susannah M.; Marchant, Robert",ECOLOGY AND SOCIETY,2016,21,3,10.5751/ES-08565-210304,341,Exclude,,
Web of Science,"What Can I Do for You, the Thirsty Planet",Song,"Song, Jiatong","PROCEEDINGS OF THE 2016 INTERNATIONAL CONFERENCE ON ECONOMY, MANAGEMENT AND EDUCATION TECHNOLOGY",2016,62,NA,NA,342,Exclude,,
Web of Science,Mathematical simulation of Earth system dynamics,Dymnikov et al.,"Dymnikov, V. P.; Lykosov, V. N.; Volodin, E. M.",IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,2015,51,3,10.1134/S0001433815030044,343,Exclude,,
Web of Science,SOCIAL ENTREPRENEURSHIP IN A CAPSTONE ENGINEERING DESIGN COURSE,Gorder et al.,"Gorder, Peter J.; Sooklal, Valmiki","ICERI2015: 8TH INTERNATIONAL CONFERENCE OF EDUCATION, RESEARCH AND INNOVATION",2015,NA,NA,NA,344,Exclude,,
Web of Science,Effects of extreme global warming in northern Europe,Drews et al.,"Drews, Martin; Christensen, Jens Hesselbjerg",CLIMATE RESEARCH,2015,64,1,10.3354/cr01313,345,Exclude,,
Web of Science,Analysis of climate change on Parana state forest fire risk,Batista et al.,"Batista, Antonio Carlos; Tetto, Alexandre Franca; Deppe, Flavio; Grodzki, Leocadio; Grassi, Jean Thiago",SCIENTIA FORESTALIS,2014,42,104,NA,346,Exclude,,
Web of Science,Exploring the Theoretical Basis of the System Reform Routing in China,Fang et al.,"Fang, Lijun; Wang, Shaoguang; Fu, Jin",ASIA-PACIFIC MANAGEMENT AND ENGINEERING CONFERENCE (APME 2014),2014,NA,NA,NA,347,Exclude,,
Web of Science,The Development of an Introductory Theoretical Green IS Framework for Strong Environmental Sustainability in Organisations,Howard et al.,"Howard, Grant; Lubbe, Sam",PROCEEDINGS OF THE 7TH EUROPEAN CONFERENCE ON IS MANAGEMENT AND EVALUATION (ECIME 2013),2013,NA,NA,NA,348,Exclude,,
Web of Science,APPLYING DPSIR ANALYSIS AS A DECISION SUPPORT TOOL FOR FOSTERING INDUSTRIAL SYMBIOSIS CONCEPT,Antonopoulos et al.,"Antonopoulos, Ioannis S.; Zouboulis, Anastasios I.; Karagiannidis, Avraam; Samaras, Petros",FRESENIUS ENVIRONMENTAL BULLETIN,2013,22,12C,NA,349,Exclude,,
Web of Science,GLOBAL WARMING: POSSIBLE CONTRIBUTIONS FROM COGNITIVE ERGONOMICS AND HUMAN-COMPUTER INTERACTION TO THE REDUCTION OF ENERGY CONSUMPTION,Bastien et al.,"Bastien, J. M. C.",TRAVAIL HUMAIN,2012,75,3,10.3917/th.753.0329,350,Exclude,,
Web of Science,THE INFORMATIONAL VALUE OF THE TRIPLE BOTTOM LINE REPORTING,Oane et al.,"Oane (Marinescu), Camelia Mihaela; Dinu (Radu), Maria; Marinescu, Emanuel Stefan",PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE ACCOUNTING AND MANAGEMENT INFORMATION SYSTEMS (AMIS 2012),2012,NA,NA,NA,351,Exclude,,
Web of Science,Urban Planning and Land Management: A Tool for the Prevention of Natural Disasters,Paskaleva et al.,"Paskaleva, Ivanka",CORRELATION BETWEEN HUMAN FACTORS AND THE PREVENTION OF DISASTERS,2012,94,NA,10.3233/978-1-61499-039-0-69,352,Exclude,,
Web of Science,Systems Research and the Hierarchy of World Systems: General Systems in Special Chaos,Boulding et al.,"Boulding, Kenneth E.",SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,2009,26,5,10.1002/sres.994,353,Exclude,,
Web of Science,Ethics and nature. A contextual approach,Claval,"Claval, P",ENVIRONMENT ACROSS CULTURES,2003,19,NA,NA,354,Exclude,,
Found randomly,Some Contributions of Integrated Assessment Models of Global Climate Change,Weyant,"Weyant, J",Review of Environmental Economics and Policy,2017,11,1,doi:10.1093/reep/rew018,355,Follow Up,,Review
Forwarded by a colleague,"Climate, ecosystems, and planetary futures: The challenge to predict life in Earth system models",Bonan and Doney,"Bonan, G and Scott Doney",Science,2018,359,,doi:10.1126/science.aam8328,356,Follow Up,,Review
Recommended by reviewer,Climate-society feedbacks and the avoidance of dangerous climate change,Jarvis et al.,Jarvis et al.,NATURE CLIMATE CHANGE,2012,2,,doi:10.1038/nclimate1586,357,Include,Global,Integrated Model
