temp,year,var,model,scenario,ens,yrs,regrid
289.3401794,2072,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4957886,2073,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4378967,2074,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.3588867,2075,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.3163452,2076,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5571594,2077,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6097107,2078,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7730103,2079,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7297058,2080,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6517334,2081,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6588745,2082,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7933044,2083,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6392517,2084,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6357727,2085,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6214905,2086,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.647644,2087,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5864563,2088,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6436768,2089,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6399231,2090,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4041138,2091,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5871887,2092,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.8469543,2093,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.800354,2094,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.742218,2095,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7864685,2096,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7963562,2097,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7140503,2098,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.7398376,2099,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.8340454,2100,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.9424438,2006,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
288.9004517,2007,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
288.9068298,2008,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
288.8677979,2009,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
288.745636,2010,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
288.9021606,2011,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
288.9519958,2012,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.1451721,2013,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
288.9679871,2014,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.0789795,2015,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.1152344,2016,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.1949463,2017,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.1642761,2018,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.3230896,2019,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.3560181,2020,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.3380737,2021,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.2690125,2022,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.3373108,2023,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.2778931,2024,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.20224,2025,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.2485352,2026,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.3623352,2027,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.346283,2028,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4021912,2029,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4490967,2030,tas,bcc-csm1-1-m,rcp45,r1i1p1,2006-2100,r360x180.nc
